wl,W1,W2,W3,W4,W9,W10,W11,W12,W14,W16,W17,W18,W19,W20,W20.1,W21,W22,W23,W24,W25,W26,W27
303.742126,25.842945,10.596184,21.78537667,18.21587633,13.94692567,22.60165133,19.44161367,16.84958233,9.863657667,15.989879,16.32629267,11.73756267,20.729494,18.49791167,23.17285767,14.04077667,23.654652,13.60736433,18.12850767,22.55641433,11.26409,9.694787333
304.113037,25.93356133,10.56959433,21.918347,18.311347,14.006564,22.83143367,19.46440667,16.90747267,9.890751,15.955197,16.30404033,11.76713167,20.77996233,18.54807,23.15609033,14.08140433,23.645394,13.645216,18.172383,22.53659567,11.336893,9.742333
304.483856,25.962777,10.63675167,21.988478,18.42558367,14.05495267,22.843722,19.43641667,17.03700867,9.853914,15.940924,16.34377567,11.70093433,20.78087367,18.603605,23.11012633,14.22225533,23.64751633,13.65832567,18.22784967,22.53875433,11.34164633,9.755581333
304.854736,26.10010033,10.72156333,22.14223167,18.56922233,14.08304767,22.94137233,19.441778,17.15656867,9.869999333,15.87924467,16.32968333,11.72432133,20.80091733,18.570802,23.12983133,14.22559333,23.57772767,13.689712,18.21475833,22.60308333,11.37456367,9.772824667
305.225525,26.19162,10.72123733,22.212626,18.59418667,14.09862767,22.903019,19.42375067,17.177466,9.855767333,15.812898,16.39482567,11.73204733,20.82744767,18.62705933,23.09005867,14.302482,23.54917733,13.727941,18.17869567,22.660325,11.395664,9.856206
305.596283,26.249241,10.79803533,22.39718767,18.599718,14.20931433,22.88636967,19.478008,17.10957367,9.766061333,15.85504467,16.43079233,11.77644067,20.84251833,18.60522133,23.02930833,14.31082867,23.50269633,13.77819167,18.153575,22.68680833,11.41991033,9.907486667
305.967041,26.310394,10.82236867,22.46528433,18.67283067,14.26158867,22.85288367,19.399348,17.11613567,9.727657,15.89948233,16.426518,11.74921633,20.89815133,18.63528867,23.02905333,14.39382467,23.529119,13.829994,18.15357767,22.71740267,11.413119,10.04562467
306.337769,26.311425,10.90277867,22.532069,18.699792,14.29100333,22.94859467,19.312125,17.17889767,9.600496333,15.90091867,16.52582533,11.79578267,20.979035,18.67120967,23.00312433,14.378171,23.42135933,13.875198,18.23107833,22.62589767,11.47073433,10.157087
306.708405,26.398517,10.98513533,22.670075,18.72924467,14.36756833,22.98555133,19.35847333,17.174622,9.540380333,15.883323,16.61544667,11.859571,21.09092533,18.667743,23.00373367,14.42820867,23.46844833,13.96834233,18.179598,22.54523433,11.51374033,10.23675567
307.079071,26.43354067,11.05513,22.621822,18.83288033,14.37211967,23.02542,19.32116067,17.18321967,9.554842,15.82396167,16.68674933,11.89793333,21.10508667,18.64104533,23.07659333,14.483229,23.522807,13.98954833,18.174391,22.57986267,11.580003,10.241878
