wl,W1.2.W.N,W11.2.W.N,W13.2.WY.N,W15.2.W.N,W25.2.W.N
445.644104,52.99271667,59.95883433,36.56965133,72.85068633,83.08594533
446.002319,52.937954,59.99104967,36.57728833,72.92630267,83.06721233
446.360504,52.95298167,59.921261,36.58005667,73.03135433,83.068812
446.718719,52.96482333,60.00850433,36.63506067,73.15103933,83.13714067
447.076843,52.94775033,59.93355967,36.64142233,73.20455167,83.19257067
447.434906,52.89059967,59.96364933,36.59371567,73.23903033,83.183988
447.792938,52.909785,59.94518267,36.591839,73.32257333,83.26046767
448.15094,52.87201967,59.999144,36.60300567,73.51788067,83.26980867
448.508911,52.85764933,60.04576367,36.57594167,73.56975267,83.28446467
448.866852,52.86197933,59.995154,36.56350467,73.662262,83.379771
449.224731,52.84692267,59.951196,36.588057,73.70573667,83.313591
449.582672,52.841328,59.991538,36.59223167,73.83197,83.34171033
